MATH2050,Assignment 1,Jan 20-24 @ 10:10,1,80
MATH2050,Assignment 2,Jan 27-31 @ 10:10,1,80
MATH2050,Assignment 3,Mar 2-6 @ 10:10,1,80
CSCI2072,Assignment 1,Jan 21 @ 15:30,5,80
CSCI2072,Assignment 2,Feb 7 @ 18:00,5,80
CSCI2072,Assignment 3,Mar 3 @ 17:00,5,80
CSCI2072,Assignment 4,Mar 20 @ 15:30,5,80
CSCI2072,Assignment 5,TBH,5,80
CSCI2020,Assignment 1,Mar 5 @ 23:59,10,80
CSCI2160,Assignment 1,Feb 17 @ 23:59,5,100
CSCI2160,Assignment 2,Mar 27 @ 23:59,20,100
CSCI2160,Final Project,Mar 23 @ 23:59,10,100
CSCI2020,Final Project,Mar 22 @ 23:59,25,100
CSCI2040,Project Phase I,Feb 23 @ 23:59,10,100
CSCI2040,Project Phase II,Apr 3 @ 23:59,10,100
CSCI2040,Topic Presentation,Mar 16 @ 23:59,10,100
