Digital Media,Rohollah Moosavi,CSCI2160,MW,08:10-09:30,UP1501
Linear Algebra,Ilona Kletskin,MATH2050,MR,12:40-14:00,UA1350
Software Systems Dev. & Integ,Rohollah Moosavi,CSCI2020,MW,15:40-17:00pm,UA1120
Computational Science I,Lennaert van Veen,CSCI2072,TF,15:40-17:00pm,UA1120
Software Design and analysis,Mariana Shimabukuro,CSCI2040,TR,17:00-18:30pm,UA1120
Digital Media Lab,TA,CSCI2160L,M,09:40-11:10,UA2460
Linear Algebra Tut,Marian,MATH2050L,F,10:10-11:10,UL6
Software Systems Dev. & Integ Lab,TA,CSCI2020L,T,12:40-14:00pm,UB2058
Computational Science I Lab,Lennaert van Veen,CSCI2072L,F,11:10-12:00pm,ERC1094
Software Design and analysis Lab,TA,CSCI2040L,F,14:10-15:30pm,ERC1056
